time,tmp,pre,runoff
1934-03-16,3.7756686,25.688772,5430.0
1934-04-16,7.6898394,46.413906,6870.0
1934-05-16,12.859092,96.8369,13800.0
1934-06-16,14.847327,157.48074,17600.0
1934-07-16,17.522194,159.22327,31000.0
1934-08-16,16.692513,128.27861,33800.0
1934-09-16,14.1042795,110.35856,29200.0
1934-10-16,7.81123,69.125404,19600.0
1934-11-16,1.8213903,29.88021,12300.0
1934-12-16,-0.21042772,8.016578,5800.0
1935-01-16,-2.5997324,5.257487,4070.0
1935-02-15,0.3414439,19.44599,4020.0
1935-03-16,5.2168455,23.92059,4960.0
1935-04-16,7.877807,45.19091,4990.0
1935-05-16,12.343049,95.56979,10500.0
1935-06-16,15.100801,149.9147,20200.0
1935-07-16,17.299734,126.73449,29500.0
1935-08-16,16.854813,119.49706,21600.0
1935-09-16,13.714706,121.62862,32500.0
1935-10-16,10.118182,60.7238,23700.0
1935-11-16,3.3526738,25.39251,12000.0
1935-12-16,-2.4360964,7.588503,7110.0
1936-01-16,-3.7537432,10.11417,4280.0
1936-02-15,-0.6494653,11.113369,3940.0
1936-03-16,1.9542781,23.683155,3810.0
1936-04-16,8.438503,48.73984,6930.0
1936-05-16,11.858289,79.27434,11600.0
1936-06-16,15.151871,102.58849,10100.0
1936-07-16,17.103745,153.75536,16800.0
1936-08-16,16.174332,168.09679,34000.0
1936-09-16,13.644654,77.23289,21600.0
1936-10-16,8.741979,41.877007,10600.0
1936-11-16,3.5620322,13.47754,6370.0
1936-12-16,-1.7395723,8.498396,4220.0
1937-01-16,-2.7181818,8.902674,3380.0
1937-02-15,0.3863635,13.104546,3200.0
1937-03-16,4.1874332,15.075669,3070.0
1937-04-16,8.762567,32.81123,3680.0
1937-05-16,12.391711,101.6639,7850.0
1937-06-16,14.711765,140.8059,18800.0
1937-07-16,16.888235,170.88905,30900.0
1937-08-16,16.964706,180.35857,32800.0
1937-09-16,13.645991,116.866585,39200.0
1937-10-16,9.256684,45.12594,23800.0
1937-11-16,1.918449,13.022193,10700.0
1937-12-16,-0.4155082,11.181551,6180.0
1938-01-16,-2.597059,7.248663,4270.0
1938-02-15,-0.63609624,9.250803,4040.0
1938-03-16,3.4387703,29.877005,4850.0
1938-04-16,9.2168455,49.59679,8970.0
1938-05-16,12.865776,95.041985,9480.0
1938-06-16,14.610695,154.74545,26100.0
1938-07-16,16.998663,159.56818,40400.0
1938-08-16,16.958021,160.4393,26300.0
1938-09-16,13.416844,120.95321,42900.0
1938-10-16,9.447594,70.303474,24200.0
1938-11-16,3.0962567,17.049732,10600.0
1938-12-16,-0.30802143,6.894385,6360.0
1939-01-16,-1.5786097,4.2502675,4330.0
1939-02-15,0.49358305,16.04599,4320.0
1939-03-16,4.2524066,13.689839,4600.0
1939-04-16,6.9096255,51.600803,6620.0
1939-05-16,12.585562,87.17968,10600.0
1939-06-16,14.685829,110.2853,18000.0
1939-07-16,16.957754,170.97969,31000.0
1939-08-16,17.195187,102.713905,28400.0
1939-09-16,13.453476,93.01738,18800.0
1939-10-16,9.342246,40.822197,16800.0
1939-11-16,3.031551,19.528343,8970.0
1939-12-16,-1.0,6.5537434,5340.0
1940-01-16,-1.5256685,3.7248666,3790.0
1940-02-15,0.47566852,18.712835,3490.0
1940-03-16,3.0144382,41.44572,4600.0
1940-04-16,7.4930487,32.47353,6000.0
